Siedlungsnr;Stelle;Positionsnr;Individualnr;Formblattnr;Rohmat1;Rohmat2;Rohmat_Farbe;Oberfl_art_Spaltfl;Strukturen_Material;Rinde;Nat_Fl;Nat_Fl_Abroll;Therm_Art;Therm_Zeit;Erhaltung_Rechteck;Länge;Breite;Dicke;Gewicht;Mod_Erhaltung;Grundform;Erhaltung_Schlagr;Schlagr_Verlauf;Schlagflrest_Länge;Schlagflrest_Breite;Schlagflrest_Erhaltung;Schlagflrest_Art;Schlagflrest_Schlagaugen;Rinde_natSprungfl;Negat_Bulbusnegat_Dorsal;Negat_Dorsal;Dorsalflpräp;Präpgrat_Verlauf;Distal_Zustand;Schlagm_Ventral;Dorsalflneg_Abbaur;Mod_Art_1;Mod_Art_2;Mod_Art_3;Mod_Art_4;Mod_Art_5;Mod_Art_6;Mod_Reihe_1;Mod_Reihe_2;Mod_Reihe_3;igerm1
AE;1236;013;001;01;05;06;02;2;6;0;2;2;0;0;2;32;29;8;7;3;1;2;2;7;3;1;1;2;2;0;99;0;0;0;3;8;31;06;  ;  ;  ;  ;2; ; ;09
AE;1253;020;001;01;05;06;02;2;7;0;1;2;0;0;2;82;53;45;284;3;3; ; ;NA;NA; ; ; ;0;NA;NA; ; ; ; ; ;15;  ;  ;  ;  ;  ; ; ; ;19
AE;1254;013;001;01;03;;07;2;0;0;0;0;0;0;6;30;22;6;3,9;1;2;6;4;7;3;1;3;2;0;99;2;0;0;0;9;1;31;04;31;31;  ;  ;2; ; ;08
AE;1268;025;001;01;05;;04;2;2;4;5;2;0;0;3;42;29;10;12,4;3;1;2;5;998;998;6;5;1;1;0;2;0;0;0;4;0;05;  ;  ;  ;  ;  ;0; ; ;07
AE;1295;007;001;01;03;05;03;2;0;4;0;2;0;0;3;31;17;6;3,5;0;1;3;7;999;999;0;0;0;3;0;0;0;0;4;0;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;1295;015;001;01;05;06;02;3;2;0;0;0;0;0;3;22;20;6;3;2;1;2;6;8;5;1;3;2;0;99;99;0;0;0;3;0;04;  ;  ;  ;  ;  ;0; ; ;08
AE;1296;019;001;01;05;06;02;2;2;0;0;0;0;0;1;20;18;4;1,6;0;1;1;4;10;3;5;1;2;0;99;99;0;0;4;2;8;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;1308;014;001;01;06;05;06;1;0;0;0;0;0;0;3;18;14;3;1;0;2;4;7;999;999;0;0;0;0;0;99;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;22
AE;1308;031;001;01;06;05;02;1;7;0;0;0;0;0;1;71;49;40;150,2;0;3; ; ;NA;NA; ; ; ;0;NA;NA; ; ; ; ; ;  ;  ;  ;  ;  ;  ; ; ; ;23
AE;1311;015;001;01;05;06;02;2;2;0;0;0;0;0;6;24;15;3;1,3;0;1;8;7;999;999;0;0;0;0;0;99;0;0;0;0;0;31;31;  ;  ;  ;  ;0; ; ;21
AE;1311;015;002;01;05;06;02;2;0;0;0;0;0;0;9;10;8;4;0,4;0;4;9;7;999;999;0;0;0;0;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;24
AE;1311;015;003;01;05;06;02;2;8;0;0;0;0;0;2;20;11;5;0,8;0;1;4;7;999;999;0;0;0;0;98;98;8;6;0;0;0;  ;  ;  ;  ;  ;  ; ; ; ;21
AE;1316;008;001;01;05;06;02;3;7;0;0;0;0;0;2;41;27;8;9,1;0;1;2;3;14;7;1;4;2;0;0;1;2;2;0;1;8;31;31;  ;  ;  ;  ;0; ; ;21
AE;1316;026;001;01;11;;16;4;8;0;0;3;4;2;6;15;13;3;0,6;0;1;8;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;1317;009;001;01;11;;16;4;8;4;0;3;0;0;2;44;27;10;10,7;3;2;2;3;16;7;1;5;3;1;1;2;0;0;0;3;1;04;  ;  ;  ;  ;  ;0; ; ;08
